source_id,latitude,latitude_errors,longitude,longitude_errors,depth,depth_errors,depth_type,origin_evaluation_mode,origievaluation_status,time,region,mag,mag_errors,magnitude_type,creation_info,evaluation_mode,evaluation_status,station_network_code,station_code,trace_channel,station_location_code,trace_sampling_rate_hz,trace_start_time,trace_Peak_M2.4_time,trace_Peak_M2.4_arrival_sample,trace_noise_start_time,trace_noise_start_arrival_sample,trace_Sg_time,trace_Sg_arrival_sample,trace_start_arrival_sample,trace_S_spectral_start_time,trace_S_spectral_start_arrival_sample,trace_S_spectral_end_time,trace_S_spectral_end_arrival_sample,trace_noise_end_time,trace_noise_end_arrival_sample,trace_P_spectral_end_time,trace_P_spectral_end_arrival_sample,trace_Pg_time,trace_Pg_arrival_sample,trace_end_time,trace_end_arrival_sample,trace_P_spectral_start_time,trace_P_spectral_start_arrival_sample,trace_name,trace_y1_time,trace_y1_arrival_sample,trace_y2_time,trace_y2_arrival_sample,trace_Peak_MbS_time,trace_Peak_MbS_arrival_sample,trace_Peak_MbP_time,trace_Peak_MbP_arrival_sample,trace_x1_time,trace_x1_arrival_sample,trace_y3_time,trace_y3_arrival_sample,trace_x3_time,trace_x3_arrival_sample,trace_x2_time,trace_x2_arrival_sample
smi:insight.mqs/mqs2019gudd,4.5024,,135.6234,,,,,manual,preliminary,2019-04-07T09:31:52.000000Z,,2.2,,MW,,,,XB,ELYSE,BH,02,100,2019-04-07T09:33:36.502750Z,2019-04-07T09:35:46.721559Z,29791,2019-04-07T09:10:57.144464Z,0,2019-04-07T09:35:00.763027Z,28872.0,27186,2019-04-07T09:35:05.074637Z,28958,2019-04-07T09:37:35.845626Z,31973,2019-04-07T09:18:33.207473Z,9121,2019-04-07T09:34:51.187836Z,28680,2019-04-07T09:33:36.369280Z,27184.0,2019-04-07T09:45:55.537266Z,41967,2019-04-07T09:33:41.092551Z,27278,"bucket0$0,:3,:41968",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ilml,4.5024,,135.6234,,,,,manual,preliminary,2019-05-01T03:03:36.000000Z,,1.8,,MW,,,,XB,ELYSE,BH,03,100,2019-05-01T03:13:35.784618Z,2019-05-01T03:21:34.504456Z,16341,2019-05-01T02:54:20.348945Z,0,2019-05-01T03:20:42.084046Z,15817.0,11554,2019-05-01T03:20:57.360559Z,15969,2019-05-01T03:24:20.781746Z,18004,2019-05-01T03:08:19.792122Z,8394,2019-05-01T03:20:19.662840Z,15592,2019-05-01T03:13:53.473199Z,11730.0,2019-05-01T03:29:47.077456Z,21267,2019-05-01T03:13:50.948606Z,11705,"bucket1$0,:3,:21268",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019jrro,4.5024,,135.6234,,,,,manual,preliminary,2019-05-18T18:00:00.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,03,100,2019-05-18T18:05:13.341364Z,2019-05-18T18:11:32.650295Z,6652,2019-05-18T18:00:27.385349Z,0,2019-05-18T18:10:12.249685Z,5847.0,2858,2019-05-18T18:10:33.828803Z,6063,2019-05-18T18:12:57.689589Z,7502,2019-05-18T18:04:22.878538Z,2354,2019-05-18T18:09:37.723097Z,5502,2019-05-18T18:05:15.896467Z,2884.0,2019-05-18T18:18:55.464907Z,11080,2019-05-18T18:05:54.738879Z,3272,"bucket2$0,:3,:11081",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019krwl,4.5024,,135.6234,,,,,manual,preliminary,2019-06-02T02:00:00.000000Z,,1.5,,MW,,,,XB,ELYSE,BH,02,100,2019-06-02T02:24:01.084890Z,2019-06-02T02:30:23.087901Z,15968,2019-06-02T02:17:04.613396Z,0,2019-06-02T02:29:05.986102Z,14426.0,8328,2019-06-02T02:29:30.435698Z,14915,2019-06-02T02:36:53.584615Z,23778,2019-06-02T02:19:44.794740Z,3202,2019-06-02T02:28:40.517773Z,13917,2019-06-02T02:24:07.497291Z,8456.0,2019-06-02T02:41:23.495789Z,29176,2019-06-02T02:24:30.928153Z,8925,"bucket3$0,:3,:29177",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ktvp,4.5024,,135.6234,,,,,manual,preliminary,2019-06-03T03:54:19.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-03T03:55:03.998228Z,2019-06-03T04:02:52.121809Z,86191,2019-06-03T02:51:02.516628Z,0,2019-06-03T04:02:38.613670Z,85921.0,76829,2019-06-03T04:00:13.102249Z,83011,2019-06-03T04:02:36.287424Z,85875,2019-06-03T03:11:53.355421Z,25016,2019-06-03T04:00:02.336446Z,82796,2019-06-03T03:57:13.724077Z,79424.0,2019-06-03T04:10:19.261621Z,95134,2019-06-03T03:55:18.119255Z,77111,"bucket4$0,:3,:95135",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019kxlt,4.5024,,135.6234,,,,,manual,preliminary,2019-06-05T03:25:46.000000Z,,2.0,,MW,,,,XB,ELYSE,BH,02,100,2019-06-05T03:29:15.051849Z,2019-06-05T03:36:06.072714Z,17234,2019-06-05T03:21:44.356757Z,0,2019-06-05T03:34:11.589076Z,14944.0,9013,2019-06-05T03:34:15.136591Z,15015,2019-06-05T03:39:09.318095Z,20899,2019-06-05T03:28:08.941494Z,7691,2019-06-05T03:33:10.541181Z,13723,2019-06-05T03:29:15.821021Z,9029.0,2019-06-05T03:45:25.293533Z,28418,2019-06-05T03:29:12.394250Z,8960,"bucket5$0,:3,:28419",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019kzhk,4.5024,,135.6234,,,,,manual,preliminary,2019-06-06T03:30:19.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-06T03:32:46.151479Z,2019-06-06T03:40:39.882067Z,14246,2019-06-06T03:28:47.526733Z,0,2019-06-06T03:39:05.681815Z,12362.0,4771,2019-06-06T03:39:39.992890Z,13048,2019-06-06T03:47:51.518987Z,22878,2019-06-06T03:32:14.209584Z,4132,2019-06-06T03:38:08.230712Z,11213,2019-06-06T03:32:46.664126Z,4781.0,2019-06-06T03:49:20.108102Z,24650,2019-06-06T03:33:21.773133Z,5483,"bucket5$1,:3,:24651",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019lmiy,4.5024,,135.6234,,,,,manual,preliminary,2019-06-13T07:02:05.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-13T06:58:14.838632Z,2019-06-13T07:03:44.853586Z,16559,2019-06-13T06:49:56.827114Z,0,2019-06-13T07:02:44.986410Z,15362.0,9959,2019-06-13T07:02:52.512705Z,15512,2019-06-13T07:07:20.950539Z,20881,2019-06-13T06:56:20.710992Z,7676,2019-06-13T07:01:30.726973Z,13877,2019-06-13T06:58:16.046824Z,9983.0,2019-06-13T07:10:51.539465Z,25093,2019-06-13T06:58:55.685308Z,10776,"bucket5$2,:3,:25094",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019lolh,4.5024,,135.6234,,,,,manual,preliminary,2019-06-14T10:29:37.000000Z,,1.8,,MW,,,,XB,ELYSE,BH,02,100,2019-06-14T10:30:22.330049Z,2019-06-14T10:35:21.887861Z,33899,2019-06-14T10:07:06.872252Z,0,2019-06-14T10:34:41.304581Z,33087.0,27908,2019-06-14T10:35:13.272595Z,33727,2019-06-14T10:37:30.033389Z,36462,2019-06-14T10:13:16.381406Z,7389,2019-06-14T10:34:22.034262Z,32702,2019-06-14T10:29:41.787001Z,27097.0,2019-06-14T10:45:41.406166Z,46289,2019-06-14T10:30:21.389675Z,27889,"bucket0$1,:3,:46290",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019lztc,4.5024,,135.6234,,,,,manual,preliminary,2019-06-20T14:56:41.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-06-20T15:02:30.846387Z,2019-06-20T15:08:02.585808Z,13920,2019-06-20T14:56:26.563069Z,0,2019-06-20T15:06:59.163423Z,12651.0,7285,2019-06-20T15:07:31.743974Z,13303,2019-06-20T15:12:03.720753Z,18743,2019-06-20T14:58:56.110957Z,2990,2019-06-20T15:06:09.584323Z,11660,2019-06-20T15:02:37.102465Z,7410.0,2019-06-20T15:14:11.292910Z,21294,2019-06-20T15:02:48.434831Z,7637,"bucket1$1,:3,:21295",,,,,,,,,,,,,,,,
